"InvID","PlotID","Treenum","Invdate","Species","Dbh","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Radgro10","Radgro5","Weight"
1,"0001-00201",27,"1999-06-17 00:00:00","GS",7.90000009536743,64,"S",45,"H","N",NA,-9,-9,10
1,"0001-00201",29,"1999-06-17 00:00:00","GS",5.40000009536743,41,"S",25,"S","N",NA,-9,-9,10
1,"0001-00201",30,"1999-06-17 00:00:00","WF",6,37,"S",22,"S","N",NA,-9,-9,10
1,"0001-00201",31,"1999-06-17 00:00:00","GS",12.1000003814697,76,"I",50,"H","N",NA,-9,-9,10
1,"0001-00201",32,"1999-06-17 00:00:00","GS",6.5,48,"S",25,"S","N",NA,-9,-9,10
1,"0001-00201",33,"1999-06-17 00:00:00","GS",10.6000003814697,73,"I",39,"H","N",NA,-9,-9,10
1,"0001-00201",34,"1999-06-17 00:00:00","GS",10.8999996185303,76,"I",46,"H","N",NA,-9,-9,10
1,"0001-00201",35,"1999-06-17 00:00:00","GS",7.30000019073486,37,"S",24,"H","N",NA,-9,-9,10
1,"0001-00201",36,"1999-06-17 00:00:00","GS",5.5,32,"S",27,"H","N",NA,-9,-9,10
1,"0001-00201",37,"1999-06-17 00:00:00","GS",6.80000019073486,41,"S",34,"H","N",NA,-9,-9,10
1,"0001-00201",38,"1999-06-17 00:00:00","WF",5.90000009536743,45,"S",26,"J","N",NA,-9,-9,10
1,"0001-00201",39,"1999-06-17 00:00:00","GS",14.1000003814697,81,"I",45,"H","N",NA,-9,-9,10
1,"0001-00201",40,"1999-06-17 00:00:00","WF",6.19999980926514,48,"S",36,"S","N",NA,-9,-9,10
1,"0001-00201",41,"1999-06-17 00:00:00","GS",11,73,"C",53,"H","N",NA,-9,-9,10
1,"0001-00201",43,"1999-06-17 00:00:00","WF",6.80000019073486,38,"S",17,"T","N",NA,-9,-9,10
1,"0001-00201",44,"1999-06-17 00:00:00","GS",11.8000001907349,84,"C",57,"H","N",NA,-9,-9,10
1,"0001-00201",45,"1999-06-17 00:00:00","WF",7,36,"S",27,"K","T",NA,-9,-9,10
1,"0001-00201",46,"1999-06-17 00:00:00","GS",7.59999990463257,29,"S",16,"H","T",NA,-9,-9,10
1,"0001-00201",47,"1999-06-17 00:00:00","GS",8,61,"I",39,"H","T",NA,-9,-9,10
