"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
36,"0001-00701","1999-07-21 00:00:00",10,"CO",14.3999996185303,"B","N",5,0,"R",9,2,0,"C",100,"1/100"
36,"0001-00701","1999-07-21 00:00:00",11,"IC",10.8000001907349,"C","N",90,0,"R",9,3,0,"C",100,"1/100"
36,"0001-00701","1999-07-21 00:00:00",12,"IC",14.3999996185303,"B","N",60,0,"R",9,2,0,"B",100,"1/100"
94,"0001-00301","2011-08-08 00:00:00",26,"IC",22.6000003814697,"B","N",100,1,"D",4,-9,0,"C",10,"AZ234"
95,"0001-00302","2011-08-07 00:00:00",14,"PP",35,"E","N",0,3,"D",4,-9,0,"D",10,""
117,"0001-00604","2011-06-06 00:00:00",5,"SP",21.7999992370605,"B","N",100,1,"R",9,-9,0,"B",10,""
36,"0001-00701","1999-07-21 00:00:00",16,"IC",30,"B","N",85,1,"R",9,2,0,"B",10,""
36,"0001-00701","1999-07-21 00:00:00",17,"IC",27.6000003814697,"B","N",85,1,"R",9,2,0,"B",10,""
37,"0001-00702","1999-07-21 00:00:00",34,"IC",21.6000003814697,"B","N",100,0,"R",9,2,0,"B",10,""
39,"0001-00704","1999-07-22 00:00:00",1,"WF",34,"E","N",90,0,"R",9,5,0,"E",10,""
39,"0001-00704","1999-07-22 00:00:00",6,"IC",27.6000003814697,"B","N",100,0,"R",9,1,0,"B",10," "
41,"0001-00707","1999-07-23 00:00:00",17,"IC",13.3000001907349,"B","N",100,2,"R",9,2,0,"C",100,""
45,"0001-00804","1999-07-25 00:00:00",28,"IC",-9,"B","N",95,2,"R",9,3,0,"D",100,"1/100"
45,"0001-00804","1999-07-25 00:00:00",33,"IC",30,"B","N",100,2,"R",9,2,0,"A",10,""
49,"0001-00808","1999-07-26 00:00:00",19,"IC",22.6000003814697,"C","N",0,3,"R",9,3,0,"D",10,"OVERLOOKED SHOULD BE #14"
52,"0001-00901","1999-08-10 00:00:00",13,"WF",21.8999996185303,"D","Y",25,4,"P",9,3,0,"C",10,""
55,"0001-00904","1999-08-09 00:00:00",8,"GS",76.8000030517578,"D","N",100,1,"R",9,3,0,"C",10,"""LOOKS LIKE AN OLD GROWTH, BUT I DON'T THINK IT'S FROM THE 1880 CUT"""
58,"0001-00907","1999-08-04 00:00:00",16,"IC",16.7999992370605,"B","N",100,1,"R",9,1,0,"A",100,"1/100"
61,"0001-00910","1999-08-03 00:00:00",8,"WF",12,"C","N",10,4,"N",9,2,0,"B",100,"TORN APART BY BEAR"
73,"0001-01102","1999-08-24 00:00:00",10,"IC",48,"D","N",0,3,"U",9,5,0,"D",10,""
76,"0001-01201","1999-08-28 00:00:00",1,"IC",25.2000007629395,"D","X",10,3,"R",9,3,0,"D",10,""
76,"0001-01201","1999-08-28 00:00:00",17,"GS",31.5,"B","N",0,5,"R",9,4,0,"D",10,""
76,"0001-01201","1999-08-28 00:00:00",18,"GS",43.7999992370605,"C","N",10,3,"R",9,3,0,"C",10,""
77,"0001-01202","1999-08-28 00:00:00",12,"GS",22.7000007629395,"B","Y",0,2,"R",9,3,0,"D",10,""
