"InvID","PlotID","Invdate","Treenum","Species","Cdeath","Yrdeath","Comment"
154,"0001-01003","2012-09-17 00:00:00",1,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",2,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",3,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",4,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",5,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",6,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",7,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",8,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",9,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",10,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",11,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",12,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",13,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",14,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",15,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",16,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",17,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",18,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",19,"SP","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",20,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",21,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",22,"IC","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",23,"WF","U","9","TOO SMALL"
154,"0001-01003","2012-09-17 00:00:00",24,"IC","U","9","TOO SMALL"
89,"0001-00201","2011-08-08 00:00:00",48,"PP","R","9","DBH LESS THAN 20"
89,"0001-00201","2011-08-08 00:00:00",50,"BO","M","9",""
90,"0001-00202","2011-08-08 00:00:00",20,"CO","M","9","FELL OVER; NEW CLUMP IN PLACE"
90,"0001-00202","2011-08-08 00:00:00",18,"IC","M","9",""
90,"0001-00202","2011-08-08 00:00:00",21,"IC","M","9",""
90,"0001-00202","2011-08-08 00:00:00",23,"IC","R","9",""
90,"0001-00202","2011-08-08 00:00:00",24,"IC","R","9",""
90,"0001-00202","2011-08-08 00:00:00",25,"IC","R","9",""
90,"0001-00202","2011-08-08 00:00:00",26,"IC","R","9",""
90,"0001-00202","2011-08-08 00:00:00",28,"IC","M","9","LIKELY REMOVED"
90,"0001-00202","2011-08-08 00:00:00",27,"WF","M","9","LIKELY REMOVED"
90,"0001-00202","2011-08-08 00:00:00",31,"WF","P","9",""
90,"0001-00202","2011-08-08 00:00:00",33,"WF","R","9","STUMP LESS THAN 20"
91,"0001-00203","2011-08-08 00:00:00",1,"WF","M","9",""
91,"0001-00203","2011-08-08 00:00:00",4,"IC","M","9",""
91,"0001-00203","2011-08-08 00:00:00",10,"IC","M","9",""
91,"0001-00203","2011-08-08 00:00:00",12,"IC","M","9",""
91,"0001-00203","2011-08-08 00:00:00",15,"IC","M","9","BOOM"
91,"0001-00203","2011-08-08 00:00:00",27,"IC","M","9","FALLEN"
91,"0001-00203","2011-08-08 00:00:00",33,"IC","M","9","FALL"
91,"0001-00203","2011-08-08 00:00:00",34,"IC","M","9","FALL"
91,"0001-00203","2011-08-08 00:00:00",36,"IC","M","9",""
91,"0001-00203","2011-08-08 00:00:00",38,"PP","M","9","POSSIBLE JEFFERY PINE"
91,"0001-00203","2011-08-08 00:00:00",42,"IC","M","9","1/100 FALL"
91,"0001-00203","2011-08-08 00:00:00",44,"BO","M","9","UPROOTED"
91,"0001-00203","2011-08-08 00:00:00",45,"WF","M","9",""
91,"0001-00203","2011-08-08 00:00:00",46,"PP","M","9","POSSIBLE JEFFERY PINE"
91,"0001-00203","2011-08-08 00:00:00",47,"BO","M","9",""
91,"0001-00203","2011-08-08 00:00:00",52,"IC","M","9","FELL"
91,"0001-00203","2011-08-08 00:00:00",54,"WF","M","9",""
91,"0001-00203","2011-08-08 00:00:00",55,"IC","M","9",""
92,"0001-00205","2011-09-21 00:00:00",4,"IC","N","9",""
92,"0001-00205","2011-09-21 00:00:00",7,"WF","M","9","LAYING ON THE GROUND"
92,"0001-00205","2011-09-21 00:00:00",10,"IC","M","9",""
92,"0001-00205","2011-09-21 00:00:00",11,"IC","M","9",""
92,"0001-00205","2011-09-21 00:00:00",12,"SP","M","9",""
92,"0001-00205","2011-09-21 00:00:00",24,"WF","M","9",""
92,"0001-00205","2011-09-21 00:00:00",25,"WF","M","9",""
93,"0001-00207","2011-08-09 00:00:00",12,"WF","N","9","FALLEN"
93,"0001-00207","2011-08-09 00:00:00",22,"BO","M","9",""
94,"0001-00301","2011-08-08 00:00:00",6,"IC","N","9","SNAP AT BASE "
94,"0001-00301","2011-08-08 00:00:00",24,"SP","M","9",""
94,"0001-00301","2011-08-08 00:00:00",42,"IC","M","9","FALLEN"
95,"0001-00302","2011-08-07 00:00:00",4,"PP","M","9",""
95,"0001-00302","2011-08-07 00:00:00",9,"IC","P","9","SNAG LESS THAN 8"
96,"0001-00303","2011-08-08 00:00:00",1,"IC","M","9",""
96,"0001-00303","2011-08-08 00:00:00",2,"IC","M","9",""
97,"0001-00304","2011-08-08 00:00:00",1,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",2,"SP","N","9","FALLEN"
97,"0001-00304","2011-08-08 00:00:00",10,"SP","M","9",""
97,"0001-00304","2011-08-08 00:00:00",11,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",12,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",13,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",16,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",17,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",18,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",20,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",21,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",22,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",24,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",25,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",26,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",27,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",32,"CO","M","9",""
97,"0001-00304","2011-08-08 00:00:00",35,"CO","M","9",""
98,"0001-00306","2011-08-08 00:00:00",1,"WF","M","9",""
98,"0001-00306","2011-08-08 00:00:00",2,"IC","P","9","FALLEN"
98,"0001-00306","2011-08-08 00:00:00",10,"WF","N","9","""SNAG LESS THAN 8"""""""
98,"0001-00306","2011-08-08 00:00:00",15,"WF","M","9",""
98,"0001-00306","2011-08-08 00:00:00",16,"WF","M","9",""
98,"0001-00306","2011-08-08 00:00:00",17,"IC","P","9","FALLEN"
99,"0001-00307","2011-08-09 00:00:00",1,"SP","N","9","TOO SMALL"
99,"0001-00307","2011-08-09 00:00:00",3,"CO","M","9",""
99,"0001-00307","2011-08-09 00:00:00",6,"IC","N","9","TOO SMALL"
99,"0001-00307","2011-08-09 00:00:00",7,"IC","M","9","UPROOTED"
99,"0001-00307","2011-08-09 00:00:00",9,"WF","N","9","TOO SMALL"
99,"0001-00307","2011-08-09 00:00:00",11,"WF","N","9","JOINED AT BASE WITH 12 SUPPRESSED TO DEATH TOO SMALL"
99,"0001-00307","2011-08-09 00:00:00",14,"IC","M","9","UPROOTED"
99,"0001-00307","2011-08-09 00:00:00",21,"SP","M","9",""
100,"0001-00401","2011-08-06 00:00:00",4,"IC","W","9","FALLEN"
100,"0001-00401","2011-08-06 00:00:00",5,"PP","W","9","FALLEN"
100,"0001-00401","2011-08-06 00:00:00",6,"WF","M","9",""
100,"0001-00401","2011-08-06 00:00:00",12,"DW","P","4",""
100,"0001-00401","2011-08-06 00:00:00",20,"DW","P","9",""
100,"0001-00401","2011-08-06 00:00:00",21,"DW","P","9",""
100,"0001-00401","2011-08-06 00:00:00",23,"SP","M","9",""
100,"0001-00401","2011-08-06 00:00:00",33,"DW","P","9",""
100,"0001-00401","2011-08-06 00:00:00",34,"DW","M","9",""
101,"0001-00402","2011-08-07 00:00:00",27,"IC","C","9","STUMP LESS THAN 20"
102,"0001-00403","2011-08-07 00:00:00",3,"SP","N","9","UPROOTED TREE NATURAL"
102,"0001-00403","2011-08-07 00:00:00",6,"WF","M","9","UPROOTED LOG ON GROUND"
102,"0001-00403","2011-08-07 00:00:00",8,"WF","M","9","NOW LOG ON GROUND"
102,"0001-00403","2011-08-07 00:00:00",11,"IC","M","9",""
103,"0001-00404","2011-08-07 00:00:00",7,"IC","P","9","UPROOTED"
103,"0001-00404","2011-08-07 00:00:00",9,"WF","P","9","UPROOTED WITH TREE ABOVE"
103,"0001-00404","2011-08-07 00:00:00",13,"AL","N","9","FALLEN ACROSS STREAM UPROOTED HAS LIVE FOLIAGE"
103,"0001-00404","2011-08-07 00:00:00",16,"AL","M","9","NOT FOUND"
104,"0001-00405","2011-08-07 00:00:00",1,"IC","M","9",""
104,"0001-00405","2011-08-07 00:00:00",2,"AL","M","9",""
104,"0001-00405","2011-08-07 00:00:00",10,"WF","M","9","KNOCKED OVER"
105,"0001-00406","2011-08-07 00:00:00",3,"IC","M","9","UPROOTED"
105,"0001-00406","2011-08-07 00:00:00",4,"IC","M","9","STUMP TOO SMALL "
105,"0001-00406","2011-08-07 00:00:00",7,"WF","M","9",""
105,"0001-00406","2011-08-07 00:00:00",8,"WF","M","9",""
105,"0001-00406","2011-08-07 00:00:00",12,"IC","M","9","1/100"
105,"0001-00406","2011-08-07 00:00:00",16,"IC","R","9",""
105,"0001-00406","2011-08-07 00:00:00",17,"WF","R","9",""
105,"0001-00406","2011-08-07 00:00:00",18,"WF","R","9",""
105,"0001-00406","2011-08-07 00:00:00",23,"IC","R","9","CUT; STUMP TO SMALL TO MEASURE"
105,"0001-00406","2011-08-07 00:00:00",29,"IC","N","9","UPROOTED "
106,"0001-00407","2011-08-06 00:00:00",4,"WF","N","9","SUPPRESSED FELL OVER "
106,"0001-00407","2011-08-06 00:00:00",10,"BO","R","9","REMOVED FOR GROUP"
106,"0001-00407","2011-08-06 00:00:00",11,"BO","R","9","REMOVED FOR GROUP"
106,"0001-00407","2011-08-06 00:00:00",20,"WF","M","9","NO TRACE"
106,"0001-00407","2011-08-06 00:00:00",21,"WF","M","9","NO TRACE"
106,"0001-00407","2011-08-06 00:00:00",24,"AL","N","9","FELL OVER"
106,"0001-00407","2011-08-06 00:00:00",25,"AL","N","9","FEL OVER"
107,"0001-00501","2011-08-06 00:00:00",4,"WF","M","9",""
107,"0001-00501","2011-08-06 00:00:00",6,"IC","M","9",""
107,"0001-00501","2011-08-06 00:00:00",7,"SP","M","9",""
107,"0001-00501","2011-08-06 00:00:00",10,"WF","M","9",""
108,"0001-00502","2011-08-07 00:00:00",8,"WF","M","9",""
108,"0001-00502","2011-08-07 00:00:00",11,"WF","M","9",""
109,"0001-00503","2011-08-05 00:00:00",8,"SP","M","9",""
110,"0001-00504","2011-08-05 00:00:00",1,"AL","M","9",""
110,"0001-00504","2011-08-05 00:00:00",2,"AL","M","9",""
110,"0001-00504","2011-08-05 00:00:00",3,"AL","U","9","DBH LESS THAN 4.5"
110,"0001-00504","2011-08-05 00:00:00",4,"AL","U","9","DBH LESS THAN 4.5"
110,"0001-00504","2011-08-05 00:00:00",7,"AL","U","9","DBH LESS THAN 4.5"
110,"0001-00504","2011-08-05 00:00:00",8,"AL","M","9",""
110,"0001-00504","2011-08-05 00:00:00",9,"AL","U","9","DBH LESS THAN 4.5"
110,"0001-00504","2011-08-05 00:00:00",10,"AL","M","9",""
110,"0001-00504","2011-08-05 00:00:00",11,"AL","M","9",""
110,"0001-00504","2011-08-05 00:00:00",16,"AL","M","9",""
111,"0001-00505","2011-08-05 00:00:00",17,"IC","N","9","FALLEN"
111,"0001-00505","2011-08-05 00:00:00",20,"WF","N","9","SNAG <8''"
111,"0001-00505","2011-08-05 00:00:00",21,"IC","N","9","SNAG <8''"
111,"0001-00505","2011-08-05 00:00:00",22,"IC","U","9","STUMP <20''"
112,"0001-00506","2011-08-04 00:00:00",7,"WF","M","9",""
112,"0001-00506","2011-08-04 00:00:00",9,"WF","C","9",""
112,"0001-00506","2011-08-04 00:00:00",13,"WF","C","9",""
112,"0001-00506","2011-08-04 00:00:00",15,"IC","U","9","NOT MEASURABLE STUMP"
112,"0001-00506","2011-08-04 00:00:00",18,"SP","N","9","FALLEN"
113,"0001-00507","2011-08-06 00:00:00",1,"IC","R","9","TOO SMALL"
113,"0001-00507","2011-08-06 00:00:00",3,"IC","M","9",""
113,"0001-00507","2011-08-06 00:00:00",4,"WF","R","9","TOO SMALL"
113,"0001-00507","2011-08-06 00:00:00",7,"IC","R","9","TOO SMALL"
113,"0001-00507","2011-08-06 00:00:00",8,"WF","M","9",""
113,"0001-00507","2011-08-06 00:00:00",12,"SP","R","9","TOO SMALL"
113,"0001-00507","2011-08-06 00:00:00",13,"IC","R","9","TOO SMALL"
113,"0001-00507","2011-08-06 00:00:00",14,"IC","M","9",""
113,"0001-00507","2011-08-06 00:00:00",15,"WF","M","9",""
115,"0001-00602","2011-06-06 00:00:00",2,"WF","N","9","TREE FELL; DECOMPOSSING ON GROUND"
115,"0001-00602","2011-06-06 00:00:00",4,"GS","N","9","TREE 3 & 4 GREW TOGETHER NOW ONE TREE"
116,"0001-00603","2011-06-05 00:00:00",8,"IC","M","9","NO TRACE"
117,"0001-00604","2011-06-06 00:00:00",12,"SP","M","9","DEAD NO TRACE"
118,"0001-00605","2011-08-05 00:00:00",5,"PP","P","9","SNAG LESS THAN 8"
118,"0001-00605","2011-08-05 00:00:00",6,"PP","M","9","LIKELY FALLEN"
118,"0001-00605","2011-08-05 00:00:00",7,"PP","P","9","SNAG LESS THAN 8"
118,"0001-00605","2011-08-05 00:00:00",10,"PP","R","9","STUMP LESS THAN 20"
118,"0001-00605","2011-08-05 00:00:00",11,"PP","R","9","STUMP LESS THAN 20"
118,"0001-00605","2011-08-05 00:00:00",17,"PP","N","9","SNAG LESS THAN 8 INCHES"
118,"0001-00605","2011-08-05 00:00:00",18,"CP","M","9",""
120,"0001-00701","2011-06-05 00:00:00",8,"SP","M","9","NO TRACE"
120,"0001-00701","2011-06-05 00:00:00",10,"CO","M","9","NOT FOUND LIKELY TAG GONE POSSIBLE STUMP AZ122D11.2"
120,"0001-00701","2011-06-05 00:00:00",13,"SP","M","9","DEAD NO TRACE"
121,"0001-00702","2011-06-04 00:00:00",2,"IC","M","9",""
121,"0001-00702","2011-06-04 00:00:00",22,"WF","N","9","TREE DEAD"
123,"0001-00704","2011-06-05 00:00:00",1,"WF","M","9","ROTTED OUT"
125,"0001-00706","2011-06-04 00:00:00",3,"WF","P","9","MSING"
125,"0001-00706","2011-06-04 00:00:00",5,"WF","X","9","1/100"
125,"0001-00706","2011-06-04 00:00:00",11,"AL","M","9","TREE CRUSHED BY SNAG"
126,"0001-00707","2011-06-05 00:00:00",2,"IC","X","9","1/100"
126,"0001-00707","2011-06-05 00:00:00",7,"IC","X","9",""
126,"0001-00707","2011-06-05 00:00:00",8,"IC","X","9",""
126,"0001-00707","2011-06-05 00:00:00",9,"IC","X","9",""
126,"0001-00707","2011-06-05 00:00:00",12,"CO","X","9",""
126,"0001-00707","2011-06-05 00:00:00",13,"SP","X","9","TOP DEAD"
126,"0001-00707","2011-06-05 00:00:00",15,"IC","X","9",""
126,"0001-00707","2011-06-05 00:00:00",17,"IC","X","9",""
126,"0001-00707","2011-06-05 00:00:00",18,"IC","X","9",""
128,"0001-01304","2011-08-03 00:00:00",1,"WF","N","9","FALLEN"
128,"0001-01304","2011-08-03 00:00:00",2,"WF","N","9","FALLEN"
128,"0001-01304","2011-08-03 00:00:00",4,"WF","N","9","FALLEN"
128,"0001-01304","2011-08-03 00:00:00",11,"WF","M","9",""
128,"0001-01304","2011-08-03 00:00:00",12,"WF","M","9",""
129,"0001-01401","2011-08-02 00:00:00",4,"WF","M","9",""
129,"0001-01401","2011-08-02 00:00:00",5,"WF","M","9",""
130,"0001-01402","2011-08-02 00:00:00",3,"WF","M","9",""
130,"0001-01402","2011-08-02 00:00:00",6,"WF","U","9","""SNAG LESS THAN 8"""""""
130,"0001-01402","2011-08-02 00:00:00",8,"WF","N","9","FALLEN"
130,"0001-01402","2011-08-02 00:00:00",10,"SP","M","9",""
130,"0001-01402","2011-08-02 00:00:00",12,"WF","U","9","BURIED"
131,"0001-01403","2011-08-02 00:00:00",5,"WF","U","9","FALLEN"
131,"0001-01403","2011-08-02 00:00:00",6,"SP","U","9","FALLEN"
133,"0001-00801","2012-09-18 00:00:00",6,"BO","N","9",""
133,"0001-00801","2012-09-18 00:00:00",10,"WF","N","9",""
133,"0001-00801","2012-09-18 00:00:00",19,"IC","N","9",""
133,"0001-00801","2012-09-18 00:00:00",20,"IC","U","9","TOO SMALL"
134,"0001-00802","2012-09-17 00:00:00",11,"WF","M","9",""
134,"0001-00802","2012-09-17 00:00:00",12,"WF","R","9",""
135,"0001-00803","2012-09-17 00:00:00",1,"IC","U","9","TOO SMALL"
135,"0001-00803","2012-09-17 00:00:00",2,"WF","R","9",""
135,"0001-00803","2012-09-17 00:00:00",9,"IC","U","9","TOO SMALL"
135,"0001-00803","2012-09-17 00:00:00",13,"BO","N","9",""
135,"0001-00803","2012-09-17 00:00:00",15,"WF","R","9",""
135,"0001-00803","2012-09-17 00:00:00",19,"SP","R","9",""
136,"0001-00804","2012-09-17 00:00:00",3,"AL","N","9",""
136,"0001-00804","2012-09-17 00:00:00",5,"AL","U","9","TOO SMALL"
136,"0001-00804","2012-09-17 00:00:00",7,"AL","U","9","TOO SMALL"
136,"0001-00804","2012-09-17 00:00:00",9,"IC","N","9","UPROOTED"
136,"0001-00804","2012-09-17 00:00:00",11,"IC","N","9","UPROOTED"
136,"0001-00804","2012-09-17 00:00:00",16,"IC","R","9",""
136,"0001-00804","2012-09-17 00:00:00",19,"IC","N","9",""
136,"0001-00804","2012-09-17 00:00:00",21,"WF","N","9",""
136,"0001-00804","2012-09-17 00:00:00",22,"WF","C","9",""
136,"0001-00804","2012-09-17 00:00:00",24,"WF","C","9",""
136,"0001-00804","2012-09-17 00:00:00",26,"IC","U","9","TOO SMALL"
136,"0001-00804","2012-09-17 00:00:00",29,"WF","R","9",""
136,"0001-00804","2012-09-17 00:00:00",31,"WF","R","9",""
137,"0001-00805","2012-09-16 00:00:00",1,"WF","U","9","TOO SMALL"
137,"0001-00805","2012-09-16 00:00:00",3,"PP","U","9","TOO SMALL"
137,"0001-00805","2012-09-16 00:00:00",6,"WF","U","9","TOO SMALL"
137,"0001-00805","2012-09-16 00:00:00",7,"WF","U","9","TOO SMALL"
137,"0001-00805","2012-09-16 00:00:00",8,"WF","U","9","TOO SMALL"
137,"0001-00805","2012-09-16 00:00:00",9,"WF","U","9","TOO SMALL"
137,"0001-00805","2012-09-16 00:00:00",18,"SP","N","9",""
138,"0001-00806","2012-09-16 00:00:00",2,"WF","U","9","TOO SMALL"
138,"0001-00806","2012-09-16 00:00:00",3,"IC","R","9",""
138,"0001-00806","2012-09-16 00:00:00",4,"WF","N","9",""
138,"0001-00806","2012-09-16 00:00:00",6,"IC","R","9",""
138,"0001-00806","2012-09-16 00:00:00",7,"IC","R","9",""
138,"0001-00806","2012-09-16 00:00:00",9,"IC","U","9","TOO SMALL"
139,"0001-00807","2012-09-15 00:00:00",1,"WF","U","9","OFF PLOT"
140,"0001-00808","2012-09-15 00:00:00",3,"IC","N","9","FALLEN"
140,"0001-00808","2012-09-15 00:00:00",4,"WF","U","9","TOO SMALL"
140,"0001-00808","2012-09-15 00:00:00",5,"IC","U","9","TOO SMALL"
140,"0001-00808","2012-09-15 00:00:00",8,"IC","N","9",""
140,"0001-00808","2012-09-15 00:00:00",9,"PP","N","9",""
140,"0001-00808","2012-09-15 00:00:00",19,"IC","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",1,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",2,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",3,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",4,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",5,"SP","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",8,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",9,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",12,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",13,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",14,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",15,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",16,"WF","U","9","TOO SMALL"
141,"0001-00809","2012-06-05 00:00:00",20,"IC","N","9","FALLEN"
