"InvID","PlotID","Invdate","Species","Age","Comment"
45,"0001-00804","1999-07-25 00:00:00","D","2",NA
46,"0001-00805","1999-07-25 00:00:00","M","1",NA
53,"0001-00902","1999-08-09 00:00:00","B","1",NA
65,"0001-01004","1999-08-19 00:00:00","C","2",NA
86,"0001-01403","1999-09-01 00:00:00","D","1",NA
87,"0001-01404","1999-09-01 00:00:00","B","1",NA
