"InvID","PlotID","Invdate","Azimuth","Species","To#24Inch","To1Inch","To3Inch","1FtDuff","1FtLitter","3FtDuff","3FtLitter","1FtFuel","2FtFuel","3FtFuel"
19,"0001-00405","1999-06-30 00:00:00",183,"GS",19,7,2,0,1.89999997615814,0.699999988079071,1.60000002384186,2.5,4.80000019073486,2.29999995231628
19,"0001-00405","1999-06-30 00:00:00",243,"GS",8,5,2,0.699999988079071,1.79999995231628,1.60000002384186,2,2,2.29999995231628,2.70000004768372
20,"0001-00406","1999-06-30 00:00:00",39,"MC",36,24,2,1.20000004768372,2.70000004768372,4.09999990463257,3.90000009536743,4.30000019073486,5.59999990463257,5.80000019073486
20,"0001-00406","1999-06-30 00:00:00",99,"MC",33,6,3,1.20000004768372,2.5,1.60000002384186,2.20000004768372,4.80000019073486,4.30000019073486,2.79999995231628
21,"0001-00407","1999-06-29 00:00:00",45,"MC",36,21,0,2,0.699999988079071,1.29999995231628,1.25,0.899999976158142,2.5,3.20000004768372
21,"0001-00407","1999-06-29 00:00:00",105,"MC",35,17,1,2.5,2.40000009536743,3.09999990463257,3.70000004768372,1.20000004768372,2.40000009536743,4.30000019073486
22,"0001-00501","1999-07-13 00:00:00",268,"MC",41,11,1,2.79999995231628,2.5,2.29999995231628,1.39999997615814,4.30000019073486,1.29999995231628,2.5
22,"0001-00501","1999-07-13 00:00:00",328,"MC",29,10,2,2,1.10000002384186,1.20000004768372,1.79999995231628,10.1999998092651,2.40000009536743,2.20000004768372
23,"0001-00502","1999-07-13 00:00:00",353,"MC",55,14,4,1.10000002384186,1.20000004768372,0.699999988079071,1.79999995231628,0.899999976158142,2.29999995231628,0.899999976158142
23,"0001-00502","1999-07-13 00:00:00",53,"MC",54,7,1,1.20000004768372,1.20000004768372,0.899999976158142,1.79999995231628,2.79999995231628,4.30000019073486,2
24,"0001-00503","1999-07-13 00:00:00",103,"MC",21,5,1,0.600000023841858,0.699999988079071,0.600000023841858,1.20000004768372,1.70000004768372,4,1.39999997615814
24,"0001-00503","1999-07-13 00:00:00",163,"MC",12,6,0,0.899999976158142,1.10000002384186,1.20000004768372,0.600000023841858,1.39999997615814,1,1.60000002384186
25,"0001-00504","1999-07-13 00:00:00",68,"MC",9,4,8,0,0,0,0,0,18,0.100000001490116
25,"0001-00504","1999-07-13 00:00:00",128,"MC",13,3,7,0,0,0,0.800000011920929,0,0.699999988079071,0.800000011920929
26,"0001-00505","1999-07-12 00:00:00",108,"MC",5,2,9,0.100000001490116,0.600000023841858,0.200000002980232,1.79999995231628,0.600000023841858,2.20000004768372,3
26,"0001-00505","1999-07-12 00:00:00",168,"MC",6,3,3,0.699999988079071,1.60000002384186,0,1.39999997615814,1.39999997615814,11.6000003814697,3.59999990463257
27,"0001-00506","1999-07-12 00:00:00",111,"MC",18,3,2,0,0.899999976158142,0,1.60000002384186,1.20000004768372,1.20000004768372,1.60000002384186
27,"0001-00506","1999-07-12 00:00:00",171,"MC",18,6,1,1,1.29999995231628,1.10000002384186,1.5,1.10000002384186,1.79999995231628,1.70000004768372
28,"0001-00507","1999-07-12 00:00:00",247,"MC",42,14,6,0.300000011920929,1.20000004768372,1,0.800000011920929,1.29999995231628,5.19999980926514,6.80000019073486
28,"0001-00507","1999-07-12 00:00:00",307,"MC",13,11,2,0,1.70000004768372,0,0.5,2.59999990463257,2.29999995231628,1.39999997615814
29,"0001-00601","1999-07-14 00:00:00",-9,"XX",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
29,"0001-00601","1999-07-14 00:00:00",-9,"XX",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
30,"0001-00602","1999-07-14 00:00:00",300,"GS",16,15,2,1.79999995231628,1.5,1.29999995231628,1,12.6000003814697,4.19999980926514,1.29999995231628
30,"0001-00602","1999-07-14 00:00:00",360,"GS",19,11,1,1.29999995231628,2.29999995231628,1.20000004768372,1.60000002384186,4.59999990463257,3.79999995231628,1.79999995231628
31,"0001-00603","1999-07-13 00:00:00",245,"MC",35,21,5,0.5,1.20000004768372,1.20000004768372,1.89999997615814,0.800000011920929,1.39999997615814,1.29999995231628
31,"0001-00603","1999-07-13 00:00:00",305,"MC",23,16,0,0.800000011920929,1.79999995231628,0.600000023841858,1.39999997615814,1.29999995231628,0.699999988079071,0.800000011920929
32,"0001-00604","1999-07-14 00:00:00",91,"GS",6,0,0,0.200000002980232,0.899999976158142,0.699999988079071,1.20000004768372,1,1.70000004768372,1.89999997615814
32,"0001-00604","1999-07-14 00:00:00",151,"MC",3,1,0,0,1.20000004768372,0.200000002980232,1.10000002384186,0.300000011920929,1.5,1
33,"0001-00605","1999-07-13 00:00:00",3,"MC",3,14,4,0,3.59999990463257,0,1.39999997615814,4.19999980926514,5.69999980926514,5.59999990463257
33,"0001-00605","1999-07-13 00:00:00",63,"MC",0,16,4,0,0.699999988079071,0,2.29999995231628,5.19999980926514,3.29999995231628,5.59999990463257
