"InvID","PlotID","Invdate","Treenum","Species","dbh","Heartwood","Woodpeck","Barkcond","Theight","Cdeath","Yrdeath","Whard","Nesthole","SapWood","Weight","Comment"
5358,"0250-00016","2004-07-12 00:00:00",10,"SP",24,"E","N",5,3,"D",4,5,0,"E",10,"AZ336"
5359,"0250-00017","2004-07-09 00:00:00",16,"DF",40,"E","Y",50,1,"D",4,5,0,"E",10,"AZ 348"
5360,"0250-00018","2004-07-08 00:00:00",2,"IC",51,"D","Y",90,3,"D",4,3,0,"E",10,"AZ37"
5360,"0250-00018","2004-07-08 00:00:00",9,"WF",26,"E","N",80,3,"D",4,4,0,"E",10,"AZ132"
5360,"0250-00018","2004-07-08 00:00:00",19,"SP",26,"A","N",100,3,"R",1,1,0,"A",10,"AZ232"
5360,"0250-00018","2004-07-08 00:00:00",20,"IC",22,"A","N",100,1,"R",1,1,0,"A",10,"AZ234"
5360,"0250-00018","2004-07-08 00:00:00",23,"TO",32,"E","Y",60,3,"R",4,3,0,"E",10,"AZ307"
5394,"0620-00008","2007-08-08 00:00:00",19,"IC",36,"B","N",95,2,"D",9,-9,0,"D",10,""
5394,"0620-00008","2007-08-08 00:00:00",24,"PP",22,"E","N",50,1,"D",9,-9,0,"E",10,"CUBICLE PILE"
5395,"0620-00009","2007-08-09 00:00:00",3,"PP",25.3999996185303,"D","N",40,2,"D",4,-9,1,"D",10,""
5395,"0620-00009","2007-08-09 00:00:00",7,"PP",12.6000003814697,"E","N",20,1,"D",4,-9,0,"C",100,""
5395,"0620-00009","2007-08-09 00:00:00",11,"PP",24.7000007629395,"D","N",100,2,"D",4,-9,0,"C",10,"QSP  FALLING APART"
5395,"0620-00009","2007-08-09 00:00:00",16,"IC",10,"B","N",80,3,"D",4,-9,0,"E",100,""
5395,"0620-00009","2007-08-09 00:00:00",17,"PP",22.1000003814697,"C","N",35,2,"D",4,-9,0,"E",10,""
5396,"0620-00010","2007-08-09 00:00:00",1,"SP",27.2000007629395,"B","N",5,1,"D",4,-9,0,"E",10,"FALLING APART "
5396,"0620-00010","2007-08-09 00:00:00",3,"PP",25,"D","N",40,1,"D",4,-9,0,"E",10,"FALLING APART "
5396,"0620-00010","2007-08-09 00:00:00",5,"PP",18,"D","N",45,1,"D",4,-9,0,"D",100,"QSP"
5396,"0620-00010","2007-08-09 00:00:00",7,"PP",23.2000007629395,"D","N",25,1,"D",4,-9,0,"E",10,"QSP"
5396,"0620-00010","2007-08-09 00:00:00",11,"PP",20,"E","N",55,1,"D",4,-9,0,"E",10,""
5396,"0620-00010","2007-08-09 00:00:00",12,"SP",48,"D","N",50,2,"D",4,-9,0,"E",10,""
5396,"0620-00010","2007-08-09 00:00:00",13,"SP",21.2000007629395,"C","N",35,2,"D",4,-9,0,"D",10,""
5399,"0620-00014","2007-08-08 00:00:00",7,"PP",23.3999996185303,"D","N",75,1,"D",4,-9,0,"E",10,"SMALL MAMMAL NEST BELOW"
5399,"0620-00014","2007-08-08 00:00:00",13,"WF",28.6000003814697,"A","N",100,1,"D",4,-9,0,"C",10,""
5399,"0620-00014","2007-08-08 00:00:00",26,"PP",10.6000003814697,"B","N",100,1,"R",4,-9,0,"E",100,""
5400,"0621-00001","2007-08-14 00:00:00",6,"IC",23.6000003814697,"B","N",40,2,"D",4,-9,0,"C",10,""
5400,"0621-00001","2007-08-14 00:00:00",10,"IC",21.2999992370605,"B","N",90,2,"D",4,-9,0,"B",10,""
5400,"0621-00001","2007-08-14 00:00:00",13,"WF",22,"E","N",0,0,"D",4,-9,0,"E",10,"CUBICLE PILE"
5400,"0621-00001","2007-08-14 00:00:00",21,"IC",25.6000003814697,"B","N",85,1,"D",4,-9,0,"C",10,""
5400,"0621-00001","2007-08-14 00:00:00",22,"IC",19.1000003814697,"B","N",45,1,"D",4,-9,0,"D",100,""
5400,"0621-00001","2007-08-14 00:00:00",24,"IC",30.8999996185303,"B","N",30,2,"D",4,-9,0,"C",10,""
5400,"0621-00001","2007-08-14 00:00:00",25,"IC",29.8999996185303,"B","N",35,2,"D",4,-9,0,"C",10,""
5400,"0621-00001","2007-08-14 00:00:00",27,"WF",16,"E","N",0,0,"D",4,-9,0,"E",100,""
