"InvID","PlotID","Treenum","Invdate","Species","Dbh","Radgro10","Radgro5","Theight","Crclass","Heightcb","Damdis","Folqual","Comment","Weight"
2901,"0380-50232",1,"1996-06-24 00:00:00","PP",5.80000019073486,-9,-9,20,"X",-9,"X","X","",100
2902,"0380-50241",1,"1996-06-25 00:00:00","PP",5,-9,-9,17,"X",-9,"X","X","",100
2902,"0380-50241",2,"1996-06-25 00:00:00","PP",4.5,-9,-9,18,"X",-9,"X","X","",100
2904,"0380-50421",1,"1996-06-20 00:00:00","PP",5,-9,-9,18,"X",-9,"X","X","",100
2904,"0380-50421",2,"1996-06-20 00:00:00","PP",6.09999990463257,-9,-9,24,"X",-9,"X","X","",100
2904,"0380-50421",3,"1996-06-20 00:00:00","GS",6.30000019073486,-9,-9,18,"X",-9,"X","X","",100
2905,"0380-50422",1,"1996-06-20 00:00:00","PP",6.90000009536743,-9,-9,25,"X",-9,"X","X","",100
2906,"0380-50411",1,"1996-06-20 00:00:00","PP",6.30000019073486,-9,-9,25,"X",-9,"X","X","",100
2906,"0380-50411",2,"1996-06-20 00:00:00","GS",9.19999980926514,-9,-9,27,"X",-9,"X","X","",100
2907,"0380-50412",1,"1996-06-20 00:00:00","PP",4.90000009536743,-9,-9,20,"X",-9,"X","X","",100
2908,"0380-50441",1,"1996-06-14 00:00:00","PP",6.40000009536743,-9,-9,25,"X",-9,"X","X","",100
2908,"0380-50441",2,"1996-06-14 00:00:00","B0",10.8999996185303,-9,-9,34,"X",-9,"X","X","",100
3124,"0420-50311",2,"1996-07-12 00:00:00","PP",5,-9,-9,19,"X",-9,"X","X","",100
2909,"0380-50442",1,"1996-06-20 00:00:00","IC",7.40000009536743,-9,-9,25,"X",-9,"X","X","",100
2910,"0380-50521",5,"1996-06-13 00:00:00","PP",5,-9,-9,20,"X",-9,"X","X"," ",100
2911,"0380-50522",6,"1996-06-13 00:00:00","WF",35.7000007629395,-9,-9,143,"X",-9,"X","X"," ",100
2912,"0380-50511",1,"1996-06-14 00:00:00","PP",6.59999990463257,-9,-9,29,"X",-9,"X","X","",100
2912,"0380-50511",2,"1996-06-14 00:00:00","PP",5.09999990463257,-9,-9,20,"X",-9,"X","X","",100
2913,"0380-50531",6,"1996-06-13 00:00:00","PP",4.69999980926514,-9,-9,19,"X",-9,"X","X"," ",100
2913,"0380-50531",7,"1996-06-13 00:00:00","PP",4.59999990463257,-9,-9,20,"X",-9,"X","X"," , ",100
2913,"0380-50531",9,"1996-06-13 00:00:00","PP",4.69999980926514,-9,-9,15,"X",-9,"X","X"," ",100
2914,"0380-50541",1,"1996-06-14 00:00:00","PP",6.30000019073486,-9,-9,21,"X",-9,"X","X","",100
2915,"0380-50542",1,"1996-06-14 00:00:00","PP",4.69999980926514,-9,-9,17,"X",-9,"X","X","",100
2915,"0380-50542",2,"1996-06-14 00:00:00","PP",5.69999980926514,-9,-9,21,"X",-9,"X","X","",100
2916,"0380-50643",2,"1996-06-12 00:00:00","PP",5.40000009536743,-9,-9,15,"X",-9,"X","X"," , , , ",100
2917,"0380-50642",1,"1996-06-12 00:00:00","PP",6.5,-9,-9,22,"X",-9,"X","X"," , , , ",100
2917,"0380-50642",2,"1996-06-12 00:00:00","PP",5.90000009536743,-9,-9,19,"X",-9,"X","X"," , , , ",100
2918,"0380-50641",1,"1996-06-12 00:00:00","PP",6.69999980926514,-9,-9,23,"X",-9,"X","X"," , , , ",100
2922,"0500-50111",1,"1996-07-03 00:00:00","SP",4.5,-9,-9,21,"X",-9,"X","X","",100
2922,"0500-50111",2,"1996-07-03 00:00:00","PP",6.30000019073486,-9,-9,24,"X",-9,"X","X","",100
2928,"0500-50231",1,"1996-07-06 00:00:00","PP",4.59999990463257,-9,-9,17,"X",-9,"X","X","",100
2929,"0500-50232",1,"1996-07-04 00:00:00","WF",5.69999980926514,-9,-9,28,"X",-9,"X","X","",100
2929,"0500-50232",2,"1996-07-04 00:00:00","WF",6.09999990463257,-9,-9,25,"X",-9,"X","X","",100
2929,"0500-50232",3,"1996-07-04 00:00:00","DPP",15.8000001907349,-9,-9,48,"X",-9,"X","X","SNAG",100
3125,"0420-50322",1,"1996-07-12 00:00:00","PP",4.80000019073486,-9,-9,18,"X",-9,"X","X","",100
3125,"0420-50322",2,"1996-07-12 00:00:00","PP",4.80000019073486,-9,-9,17,"X",-9,"X","X","",100
3125,"0420-50322",3,"1996-07-12 00:00:00","PP",4.80000019073486,-9,-9,19,"X",-9,"X","X","",100
3126,"0420-50331",1,"1996-07-12 00:00:00","PP",6.90000009536743,-9,-9,22,"X",-9,"X","X","",100
3127,"0420-50333",1,"1996-07-12 00:00:00","SP",5,-9,-9,23,"X",-9,"X","X","BLISTER RUST INECTION",100
3127,"0420-50333",2,"1996-07-12 00:00:00","PP",5.30000019073486,-9,-9,20,"X",-9,"X","X","",100
3128,"0420-50341",1,"1996-07-12 00:00:00","PP",6.5,-9,-9,21,"X",-9,"X","X","",100
3128,"0420-50341",2,"1996-07-12 00:00:00","IC",5.30000019073486,-9,-9,15,"X",-9,"X","X","",100
3129,"0420-50412",1,"1996-07-15 00:00:00","PP",7.30000019073486,-9,-9,25,"X",-9,"X","X","",100
2710,"0581-00061",3,"1997-08-04 00:00:00","PP",7.59999990463257,-9,-9,28,"C",6,"H","N","NOT TAGGED",100
2712,"0581-00066",1,"1997-08-04 00:00:00","PP",8.80000019073486,-9,-9,36,"C",5,"H","N","NOT TAGGED",100
2712,"0581-00066",2,"1997-08-04 00:00:00","PP",9.39999961853027,-9,-9,39,"C",7,"H","N","NOT TAGGED",100
2712,"0581-00066",3,"1997-08-04 00:00:00","GS",8.5,-9,-9,29,"C",2,"H","N","NOT TAGGED",100
2713,"0581-00067",1,"1997-08-04 00:00:00","BO",6.09999990463257,-9,-9,30,"I",21,"L","N","NOT TAGGED",100
2713,"0581-00067",2,"1997-08-04 00:00:00","WF",14.6000003814697,-9,-9,67,"C",6,"H","N","NOT TAGGED",100
2713,"0581-00067",3,"1997-08-04 00:00:00","WF",9.39999961853027,-9,-9,42,"I",7,"H","N","NOT TAGGED",100
2713,"0581-00067",4,"1997-08-04 00:00:00","DF",27.8999996185303,-9,-9,77,"C",9,"H","N","NOT TAGGED",100
2738,"0612-00054",1,"1997-07-18 00:00:00","PP",4.90000009536743,-9,-9,22,"D",6,"H","N","",100
2738,"0612-00054",2,"1997-07-18 00:00:00","PP",4.69999980926514,-9,-9,23,"D",10,"H","N","",100
2738,"0612-00054",3,"1997-07-18 00:00:00","PP",5.90000009536743,-9,-9,26,"D",9,"H","N","",100
2738,"0612-00054",4,"1997-07-18 00:00:00","PP",4.59999990463257,-9,-9,22,"D",7,"H","N","",100
2739,"0612-00055",1,"1997-07-18 00:00:00","PP",5,-9,-9,16,"D",4,"H","N","",100
2739,"0612-00055",2,"1997-07-18 00:00:00","PP",4.59999990463257,-9,-9,17,"D",4,"H","N","",100
2742,"0641-00050",1,"1997-07-17 00:00:00","WF",10,-9,-9,41,"I",9,"H","N","",100
2742,"0641-00050",2,"1997-07-17 00:00:00","WF",20.1000003814697,-9,-9,96,"D",15,"H","N","",100
2743,"0641-00051",1,"1997-07-21 00:00:00","PP",11.3999996185303,-9,-9,38,"C",5,"H","N","WITNESS TREE AZ 120 DIST 9.2 ",100
2745,"0641-00053",1,"1997-07-21 00:00:00","PP",6.80000019073486,-9,-9,20,"D",3,"S","N","",100
2745,"0641-00053",2,"1997-07-21 00:00:00","PP",10.3000001907349,-9,-9,26,"D",3,"H","N","",100
2746,"0641-00054",1,"1997-07-21 00:00:00","WF",12.8000001907349,-9,-9,32,"D",2,"H","N","",100
2747,"0641-00055",1,"1997-07-21 00:00:00","PP",6.59999990463257,-9,-9,21,"D",3,"S","N","",100
2747,"0641-00055",2,"1997-07-21 00:00:00","PP",7.19999980926514,-9,-9,21,"D",5,"H","N","",100
2748,"0641-00056",1,"1997-07-21 00:00:00","WF",5.19999980926514,-9,-9,21,"C",3,"H","N","",100
2748,"0641-00056",2,"1997-07-21 00:00:00","PP",4.5,-9,-9,15,"C",3,"H","N","",100
2748,"0641-00056",3,"1997-07-21 00:00:00","PP",5.5,-9,-9,17,"D",2,"H","N"," ",100
2828,"0551-00053",1,"1997-08-07 00:00:00","PP",8.80000019073486,-9,-9,38,"C",10,"H","N","NOT TAGGED",100
2828,"0551-00053",1001,"1997-08-07 00:00:00","SPP",11.1999998092651,-9,-9,48,"C",13,"H","N","4 INTNODE 8.4'",100
2828,"0551-00053",2,"1997-08-07 00:00:00","PP",9.39999961853027,-9,-9,42,"C",10,"H","N","NOT TAGGED",100
2828,"0551-00053",1002,"1997-08-07 00:00:00","SPP",7.59999990463257,-9,-9,34,"C",11,"H","N","4 INTNODE 7.3'; 2.5-3CH SW OF PLOT 2; TAG FACES PLANTATION CUTOFF ~1.5 CH NW",100
2831,"0581-00058",1,"1997-08-05 00:00:00","PP",5.5,-9,-9,18,"C",6,"S","N","NOT TAGGED",100
2831,"0581-00058",2,"1997-08-05 00:00:00","PP",5.69999980926514,-9,-9,19,"I",6,"S","N","NOT TAGGED",100
2831,"0581-00058",3,"1997-08-05 00:00:00","PP",7.09999990463257,-9,-9,18,"C",7,"SL","N","NOT TAGGED",100
2831,"0581-00058",1003,"1997-08-05 00:00:00","PP",7.80000019073486,-9,-9,32,"C",6,"H","N","4 INTNODE 10.4'; OFF-PLOT SITE TREE",100
2832,"0581-00065",1,"1997-08-04 00:00:00","PP",8.80000019073486,-9,-9,35,"C",10,"H","N","NOT TAGGED",100
2832,"0581-00065",2,"1997-08-04 00:00:00","PP",7.5,-9,-9,32,"C",9,"H","N","NOT TAGGED",100
2832,"0581-00065",3,"1997-08-04 00:00:00","PP",6.90000009536743,-9,-9,37,"C",9,"H","N","NOT TAGGED",100
2832,"0581-00065",1002,"1997-08-04 00:00:00","PP",7.59999990463257,-9,-9,34,"C",6,"H","N","4 INTNODE 9'; OFF PLOT SITE TREE",100
2833,"0581-00062",1,"1997-08-04 00:00:00","PP",7.30000019073486,-9,-9,28,"C",6,"T","N","NOT TAGGED",100
2833,"0581-00062",2,"1997-08-04 00:00:00","DF",5.19999980926514,-9,-9,32,"C",1,"H","N","NOT TAGGED",100
2834,"0581-00059",1,"1997-08-05 00:00:00","IC",10,-9,-9,29,"C",9,"S","X","NOT TAGGED",100
2834,"0581-00059",2,"1997-08-05 00:00:00","PP",6.30000019073486,-9,-9,26,"I",8,"L","N","NOT TAGGED",100
2834,"0581-00059",3,"1997-08-05 00:00:00","PP",6,-9,-9,25,"I",10,"LS","N","NOT TAGGED",100
2834,"0581-00059",4,"1997-08-05 00:00:00","PP",6.40000009536743,-9,-9,31,"C",7,"H","N","NOT TAGGED",100
4012,"0501-00066",1,"1994-08-03 00:00:00","IC",5,-9,-9,15,"D",4,"H","N","",100
2834,"0581-00059",5,"1997-08-05 00:00:00","PP",5.30000019073486,-9,-9,24,"I",9,"T","N","NOT TAGGED",100
2834,"0581-00059",6,"1997-08-05 00:00:00","PP",4.69999980926514,-9,-9,23,"I",6,"H","N","NOT TAGGED",100
2834,"0581-00059",7,"1997-08-05 00:00:00","PP",4.80000019073486,-9,-9,18,"I",6,"H","N","NOT TAGGED",100
2838,"0420-50332",1,"1996-07-12 00:00:00","IC",8.5,-9,-9,25,"X",-9,"X","X","",100
2841,"0420-50234",1,"1996-07-11 00:00:00","PP",5.30000019073486,-9,-9,19,"X",-9,"X","X","",100
2841,"0420-50234",2,"1996-07-11 00:00:00","IC",4.59999990463257,-9,-9,18,"X",-9,"X","X","",100
2841,"0420-50234",3,"1996-07-11 00:00:00","IC",6,-9,-9,23,"X",-9,"X","X","",100
2842,"0420-50232",1,"1996-07-11 00:00:00","PP",5.59999990463257,-9,-9,23,"X",-9,"X","X","",100
2842,"0420-50232",2,"1996-07-11 00:00:00","PP",6.80000019073486,-9,-9,25,"X",-9,"X","X","",100
2845,"0420-50211",1,"1996-07-11 00:00:00","DF",10.6999998092651,-9,-9,51,"X",-9,"X","X","",100
2845,"0420-50211",2,"1996-07-11 00:00:00","IC",6.80000019073486,-9,-9,29,"X",-9,"X","X","",100
2847,"0420-50233",1,"1996-07-11 00:00:00","PP",5,-9,-9,18,"X",-9,"X","X","",100
2850,"0420-50141",1,"1996-07-10 00:00:00","PP",6.59999990463257,-9,-9,18,"X",-9,"X","X","",100
2850,"0420-50141",2,"1996-07-10 00:00:00","PP",9.30000019073486,-9,-9,27,"X",-9,"X","X","",100
2853,"0420-50111",1,"1996-07-10 00:00:00","WF",6,-9,-9,25,"X",-9,"X","X","",100
2853,"0420-50111",2,"1996-07-10 00:00:00","WF",6.19999980926514,-9,-9,29,"X",-9,"X","X","",100
2853,"0420-50111",3,"1996-07-10 00:00:00","PP",8.5,-9,-9,27,"X",-9,"X","X","",100
2853,"0420-50111",4,"1996-07-10 00:00:00","PP",7.30000019073486,-9,-9,29,"X",-9,"X","X","",100
2853,"0420-50111",5,"1996-07-10 00:00:00","PP",4.80000019073486,-9,-9,24,"X",-9,"X","X","",100
2853,"0420-50111",6,"1996-07-10 00:00:00","WF",5.09999990463257,-9,-9,25,"X",-9,"X","X","",100
2856,"0420-50122",1,"1996-07-10 00:00:00","PP",4.59999990463257,-9,-9,19,"C",4,"H","N","",100
2856,"0420-50122",2,"1996-07-10 00:00:00","PP",5.09999990463257,-9,-9,18,"C",3,"S","N","",100
3098,"0360-00061",5,"1997-06-23 00:00:00","PP",5.40000009536743,-9,-9,20,"C",3,"H","N","",100
3099,"0360-00062",1,"1997-06-19 00:00:00","PP",6.40000009536743,-9,-9,20,"D",3,"H","N","",100
3099,"0360-00062",2,"1997-06-19 00:00:00","GS",4.5,-9,-9,12,"C",0,"H","N","",100
3099,"0360-00062",3,"1997-06-19 00:00:00","GS",5.30000019073486,-9,-9,17,"D",0,"H","N","",100
3100,"0360-00063",1,"1997-06-19 00:00:00","PP",5,-9,-9,18,"D",4,"H","N","",100
3100,"0360-00063",2,"1997-06-19 00:00:00","PP",5.5,-9,-9,19,"D",3,"K","N","",100
3100,"0360-00063",3,"1997-06-19 00:00:00","GS",4.5,-9,-9,17,"D",1,"S","N","",100
2859,"0420-50441",1,"1996-07-15 00:00:00","PP",9,-9,-9,29,"X",-9,"X","X","",100
2859,"0420-50441",2,"1996-07-15 00:00:00","PP",7.80000019073486,-9,-9,28,"X",-9,"X","X","",100
2860,"0420-50411",1,"1996-07-15 00:00:00","DF",6.19999980926514,-9,-9,27,"X",-9,"X","X","",100
2860,"0420-50411",2,"1996-07-15 00:00:00","PP",10.3999996185303,-9,-9,31,"X",-9,"X","X","",100
2861,"0010-51021",1,"1996-06-21 00:00:00","DDF",12.1999998092651,-9,-9,45,"X",-9,"X","X","",100
2863,"0010-50743",1,"1996-06-14 00:00:00","IC",4.90000009536743,-9,-9,23,"X",-9,"X","X"," , , , ",100
2864,"0010-50731",1,"1996-06-13 00:00:00","GS",5.19999980926514,-9,-9,19,"X",-9,"X","X","",100
2865,"0010-50611",1,"1996-06-17 00:00:00","PP",4.90000009536743,-9,-9,27,"X",-9,"X","X"," , , , ",100
2866,"0010-50533",1,"1996-06-18 00:00:00","WF",5,-9,-9,26,"X",-9,"X","X"," , , , ",100
2866,"0010-50533",2,"1996-06-18 00:00:00","WF",4.59999990463257,-9,-9,24,"X",-9,"X","X"," , , , ",100
2867,"0010-50442",1,"1996-06-20 00:00:00","MD",19.7999992370605,-9,-9,59,"X",-9,"X","X"," , , , ",100
2868,"0010-50441",1,"1996-06-20 00:00:00","DF",5.69999980926514,-9,-9,30,"X",-9,"X","X"," , , , ",100
2869,"0010-50412",1,"1996-06-20 00:00:00","TO",20.7000007629395,-9,-9,45,"X",-9,"X","X"," , , , ",100
2870,"0010-50422",1,"1996-06-20 00:00:00","GS",4.59999990463257,-9,-9,14,"X",-9,"X","X"," , , , ",100
2870,"0010-50422",2,"1996-06-20 00:00:00","GS",7.80000019073486,-9,-9,23,"X",-9,"X","X"," , , , ",100
2872,"0010-50331",1,"1996-06-21 00:00:00","DF",5.30000019073486,-9,-9,25,"X",-9,"X","X","",100
2872,"0010-50331",2,"1996-06-21 00:00:00","DF",4.59999990463257,-9,-9,24,"X",-9,"X","X","",100
2873,"0010-50722",1,"1996-06-14 00:00:00","PP",5.59999990463257,-9,-9,26,"X",-9,"X","X"," , , , ",100
2873,"0010-50722",2,"1996-06-14 00:00:00","BO",5.80000019073486,-9,-9,33,"X",-9,"X","X"," , , , ",100
2873,"0010-50722",3,"1996-06-14 00:00:00","BO",5.69999980926514,-9,-9,29,"X",-9,"X","X","",100
3102,"0360-00065",1,"1997-06-19 00:00:00","PP",5.40000009536743,-9,-9,18,"D",1,"H","N","",100
3103,"0360-00066",1,"1997-06-19 00:00:00","PP",5.80000019073486,-9,-9,17,"D",3,"H","N","resinosus",100
3103,"0360-00066",2,"1997-06-19 00:00:00","PP",5.80000019073486,-9,-9,20,"D",4,"H","N","",100
3103,"0360-00066",3,"1997-06-19 00:00:00","PP",5.59999990463257,-9,-9,19,"D",3,"H","N","",100
3123,"0420-50221",2,"1996-07-11 00:00:00","PP",7.80000019073486,-9,-9,26,"X",-9,"X","X","",100
3123,"0420-50221",3,"1996-07-11 00:00:00","SPP",9.5,-9,-9,38,"D",6,"H","N","4 INTERNODE 15'",100
2875,"0010-50641",1,"1996-06-18 00:00:00","GS",4.5,-9,-9,19,"X",-9,"X","X","",100
2875,"0010-50641",2,"1996-06-18 00:00:00","PP",6.40000009536743,-9,-9,30,"X",-9,"X","X","",100
2875,"0010-50641",3,"1996-06-18 00:00:00","PP",6.30000019073486,-9,-9,31,"X",-9,"X","X","",100
2876,"0010-50631",1,"1996-06-17 00:00:00","WF",14.6000003814697,-9,-9,88,"X",-9,"X","X"," , , , ",100
2876,"0010-50631",2,"1996-06-17 00:00:00","IC",13.8000001907349,-9,-9,69,"X",-9,"X","X"," , , , ",100
2877,"0010-50621",1,"1996-06-18 00:00:00","WF",13,-9,-9,82,"X",-9,"X","X","EDGE OF PLOT",100
2877,"0010-50621",2,"1996-06-18 00:00:00","WF",26.1000003814697,-9,-9,108,"X",-9,"X","X","EDGE OF PLOT",100
2878,"0010-51012",1,"1996-06-21 00:00:00","IC",12.5,-9,-9,46,"X",-9,"X","X","",100
