"InvID","PlotID","Invdate","DFseed","PPseed","SPseed","WFseed","ICseed","BOseed","GSseed","CHseed","MDseed","TOseed","YWseed","ALseed"
1933,"0010-00005","1993-07-27 00:00:00",0,0,0,0,0,12,0,0,0,2,0,0
1934,"0010-00007","1993-08-05 00:00:00",2,0,0,0,4,0,0,0,0,0,0,0
1935,"0010-00008","1993-08-02 00:00:00",2,0,0,1,0,2,0,0,0,5,0,0
1936,"0010-00021","1993-07-23 00:00:00",8,0,0,18,3,4,0,0,0,0,0,0
1937,"0010-00022","1993-07-22 00:00:00",21,3,0,0,0,21,0,0,0,0,0,0
1938,"0010-00023","1993-07-26 00:00:00",5,0,0,5,1,1,0,0,0,0,0,0
1939,"0010-00024","1993-07-26 00:00:00",3,0,0,0,0,13,0,0,0,0,0,0
1940,"0010-00025","1993-07-26 00:00:00",3,0,0,17,7,1,0,0,0,0,0,0
1941,"0010-00027","1993-08-05 00:00:00",0,0,0,0,1,0,0,0,0,0,0,0
1942,"0010-00028","1993-08-05 00:00:00",3,2,0,1,2,0,0,0,0,0,0,0
1943,"0010-00029","1993-08-05 00:00:00",24,0,0,8,14,0,0,0,0,2,0,0
1944,"0010-00030","1993-08-04 00:00:00",2,0,0,3,0,57,0,0,0,3,0,0
1422,"0570-00999","1984-01-01 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
1872,"0570-00999","1989-01-01 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2452,"0380-00999","1995-06-12 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2000,"0020-00001","1994-08-31 00:00:00",5,1,0,5,1,0,0,0,0,2,0,0
2001,"0020-00002","1994-08-31 00:00:00",0,0,0,1,0,0,0,0,0,16,0,0
2002,"0020-00003","1994-09-01 00:00:00",0,0,0,0,0,0,0,0,0,19,0,0
2003,"0020-00004","1994-09-12 00:00:00",0,0,0,0,0,1,0,0,0,7,0,0
2004,"0020-00005","1994-09-08 00:00:00",0,0,0,0,0,0,0,0,0,6,0,0
2005,"0020-00006","1994-09-08 00:00:00",0,0,0,1,2,6,0,0,0,15,0,0
2006,"0020-00007","1994-09-08 00:00:00",0,0,0,0,0,0,0,0,0,44,0,0
2007,"0020-00008","1994-09-07 00:00:00",0,0,0,0,0,0,0,0,0,39,0,0
2008,"0020-00009","1994-09-01 00:00:00",0,0,0,1,1,0,0,0,0,21,0,0
2009,"0030-00001","1994-07-28 00:00:00",1,0,0,3,13,2,0,0,0,0,0,0
2010,"0030-00002","1994-07-27 00:00:00",12,1,0,1,34,1,0,0,1,0,0,0
2011,"0030-00003","1994-07-27 00:00:00",0,0,0,3,6,5,0,0,0,1,0,0
2012,"0030-00004","1994-07-28 00:00:00",0,0,0,4,8,1,0,0,0,11,0,0
2013,"0030-00005","1994-07-28 00:00:00",5,0,0,9,7,0,0,0,0,1,0,0
2014,"0030-00006","1994-07-29 00:00:00",8,0,0,9,0,5,0,0,0,1,0,0
2015,"0030-00007","1994-07-29 00:00:00",1,4,3,6,80,0,0,0,1,0,0,0
2016,"0030-00008","1994-08-10 00:00:00",2,0,0,1,1,9,0,0,0,1,0,0
2017,"0030-00009","1994-08-01 00:00:00",15,5,0,2,6,4,0,0,0,1,0,0
2018,"0030-00010","1994-08-01 00:00:00",7,0,0,7,8,5,0,0,0,5,0,0
2019,"0030-00011","1994-08-02 00:00:00",0,0,0,1,0,6,0,0,0,9,0,0
2020,"0030-00012","1994-08-02 00:00:00",0,0,0,0,2,121,0,0,0,9,0,0
2021,"0030-00013","1994-08-03 00:00:00",22,0,1,3,0,1,0,0,0,7,0,0
2022,"0040-00001","1994-10-18 00:00:00",1,0,0,3,7,7,0,0,0,2,0,0
2023,"0040-00002","1994-10-19 00:00:00",19,0,0,10,72,18,0,0,0,0,0,0
2024,"0040-00003","1994-10-04 00:00:00",1,0,0,11,2,14,0,0,0,3,0,0
2025,"0040-00004","1994-10-19 00:00:00",0,0,1,4,1,1,0,0,0,0,0,0
2026,"0040-00005","1994-10-18 00:00:00",0,0,0,0,0,3,0,0,0,5,0,0
2027,"0040-00006","1994-10-17 00:00:00",0,0,0,5,1,30,0,0,0,50,0,0
2028,"0040-00007","1994-10-14 00:00:00",0,0,0,10,0,100,0,0,0,2,0,0
2029,"0040-00008","1994-09-30 00:00:00",0,2,0,8,8,13,0,0,0,0,0,0
2030,"0040-00009","1994-09-30 00:00:00",0,0,0,0,0,2,0,0,0,4,0,0
2031,"0040-00010","1994-10-03 00:00:00",4,0,0,3,0,0,0,0,0,56,0,0
2032,"0040-00011","1994-10-04 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2033,"0040-00012","1994-10-03 00:00:00",0,0,0,2,25,14,0,0,0,13,0,0
2034,"0050-00002","1994-08-25 00:00:00",0,2,0,2,5,0,0,0,0,0,0,0
2035,"0050-00004","1994-08-25 00:00:00",0,0,0,2,4,3,0,0,0,4,0,0
2036,"0050-00006","1994-08-26 00:00:00",0,0,2,15,0,1,0,0,0,5,0,0
2037,"0050-00008","1994-08-29 00:00:00",0,6,1,8,4,0,0,0,0,0,0,0
2038,"0050-00013","1994-08-29 00:00:00",0,0,0,0,0,1,0,0,0,17,0,0
2039,"0050-00015","1994-08-17 00:00:00",2,0,1,3,0,2,0,0,0,23,0,0
2040,"0050-00017","1994-08-18 00:00:00",0,0,0,0,0,0,0,0,0,8,0,0
2041,"0050-00019","1994-08-22 00:00:00",0,0,0,0,1,0,0,0,0,2,0,0
2042,"0050-00021","1994-08-22 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0
2043,"0050-00022","1994-08-24 00:00:00",0,0,0,1,2,4,0,0,0,0,0,0
2044,"0090-00001","1994-06-06 00:00:00",15,0,0,7,4,100,0,0,0,6,0,0
2045,"0091-00002","1994-06-05 00:00:00",2,0,0,6,0,8,0,0,0,0,0,0
2046,"0091-00003","1994-06-07 00:00:00",2,0,0,4,5,9,0,0,0,0,0,0
2047,"0090-00004","1994-06-07 00:00:00",0,0,0,0,0,81,0,0,0,0,0,0
