"Species","TreeType","Ht-b0","Ht-b1","Ht-b2","BFV-b0","BFV-b1","BFV-b2","BFV-b3","CFV-b0","CFV-b1","CFV-b2","CFV-b3"
"AL","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00256164255551994,1.99294996261597,1.01531994342804,0
"BO","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00367956957779825,2.12634992599487,0.8333899974823,0
"CH","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00256164255551994,1.99294996261597,1.01531994342804,0
"DF","C",1.19400000572205,1.42900002002716,-0.109999999403954,0.00180500000715256,2.39879989624023,1.13699996471405,0.991869986057281,0.00216699996963143,1.94480001926422,0.996900022029877,0.999000012874603
"DW","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00256164302118123,1.99294996261597,1.01531994342804,0
"GS","C",1.89569997787476,0.648000001907349,0.0522000007331371,0.000614400021731853,2.68849992752075,1.12370002269745,0.988550007343292,0.00174900004640222,2.09730005264282,0.90420001745224,0.997900009155273
"HW","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00256164255551994,1.99294996261597,1.01531994342804,0
"IC","C",1.89569997787476,0.648000001907349,0.0522000007331371,0.000614400021731853,2.68849992752075,1.12370002269745,0.988550007343292,0.00174900004640222,2.09730005264282,0.90420001745224,0.997900009155273
"LO","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00367957004345953,2.12634992599487,0.8333899974823,0
"LP","C",1.19400000572205,1.26699995994568,-0.0599999986588955,0.000614400021731853,2.68849992752075,1.12370002269745,0.988550007343292,0.00174900004640222,2.09730005264282,0.90420001745224,0.997900009155273
"MA","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00256164255551994,1.99294996261597,1.01531994342804,0
"MC","C",1.19400000572205,1.26699995994568,-0.0599999986588955,0.000614400021731853,2.68849992752075,1.12370002269745,0.988550007343292,0.00174900004640222,2.09730005264282,0.90420001745224,0.997900009155273
"MD","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.00256164255551994,1.99294996261597,1.01531994342804,0
"NM","C",1.19400000572205,1.26699995994568,-0.0599999986588955,0.000614400021731853,2.68849992752075,1.12370002269745,0.988550007343292,0.00174900004640222,2.09730005264282,0.90420001745224,0.997900009155273
"PP","C",1.19400000572205,1.26699995994568,-0.0599999986588955,0.0017979999538511,2.34060001373291,1.1541999578476,0.999450027942657,0.00225399993360043,1.87639999389648,1.00049996376038,1.00646996498108
"SP","C",0.732699990272522,1.80200004577637,-0.1824000030756,0.00179600005503744,2.43199992179871,1.08980000019073,0.996630012989044,0.00225599994882941,1.98839998245239,0.937900006771088,1.00315999984741
"TO","H",-0.230000004172325,2.76300001144409,-0.419999986886978,0,0,0,0,0.000577497004996985,2.19576001167297,1.14077997207642,0
"WF","C",1.0949000120163,1.37000000476837,-0.0767000019550323,0.00116999994497746,2.40000009536743,1.25499999523163,0.991310000419617,0.00168700003996491,1.94749999046326,1.06640005111694,0.999319970607758
"YW","C",1.19400000572205,1.26699995994568,-0.0599999986588955,0.000614400021731853,2.68849992752075,1.12370002269745,0.988550007343292,0.00174900004640222,2.09730005264282,0.90420001745224,0.997900009155273
